Container,CPU Usage (%),Memory Usage (%),Network Usage
shirine_detector_1,400.97%,732.40MiB,1.04GB / 1.05GB
shirine_combiner_1,0.03%,57.82MiB,1.05GB / 916MB
shirine_extractor_1,0.21%,96.37MiB,4.58MB / 1.04GB
shirine_detector_1,274.60%,725.98MiB,1.04GB / 1.05GB
shirine_combiner_1,0.03%,57.82MiB,1.05GB / 921MB
shirine_extractor_1,0.25%,96.37MiB,4.59MB / 1.04GB
shirine_detector_1,396.85%,725.98MiB,1.05GB / 1.06GB
shirine_combiner_1,0.03%,57.82MiB,1.06GB / 924MB
shirine_extractor_1,0.20%,96.37MiB,4.59MB / 1.05GB
shirine_detector_1,395.86%,725.98MiB,1.05GB / 1.06GB
shirine_combiner_1,12.68%,57.82MiB,1.06GB / 929MB
shirine_extractor_1,0.21%,96.37MiB,4.6MB / 1.05GB
shirine_detector_1,305.23%,745.25MiB,1.06GB / 1.07GB
shirine_combiner_1,0.03%,57.82MiB,1.06GB / 932MB
shirine_extractor_1,0.17%,96.37MiB,4.6MB / 1.06GB
shirine_detector_1,399.72%,745.25MiB,1.06GB / 1.07GB
shirine_combiner_1,0.03%,57.82MiB,1.07GB / 937MB
shirine_extractor_1,0.23%,96.37MiB,4.61MB / 1.06GB
shirine_detector_1,267.53%,745.25MiB,1.06GB / 1.08GB
shirine_combiner_1,0.03%,57.82MiB,1.07GB / 940MB
shirine_extractor_1,0.20%,96.37MiB,4.62MB / 1.07GB
